Game,WhiteAlgo,BlackAlgo,Result,Moves
1,alphabeta,mcts,1,7
2,alphabeta,mcts,0,48
3,alphabeta,mcts,0,41
4,alphabeta,mcts,-1,14
5,alphabeta,mcts,0,100
6,alphabeta,mcts,0,87
7,alphabeta,mcts,0,57
8,alphabeta,mcts,0,47
9,alphabeta,mcts,0,46
10,alphabeta,mcts,1,37
11,alphabeta,mcts,0,5
12,alphabeta,mcts,0,4
13,alphabeta,mcts,1,74
14,alphabeta,mcts,1,48
15,alphabeta,mcts,0,100
16,alphabeta,mcts,1,13
17,alphabeta,mcts,0,3
18,alphabeta,mcts,0,4
19,alphabeta,mcts,1,30
20,alphabeta,mcts,0,28
21,alphabeta,mcts,0,41
22,alphabeta,mcts,0,49
23,alphabeta,mcts,0,72
24,alphabeta,mcts,0,84
25,alphabeta,mcts,0,4
26,alphabeta,mcts,1,50
27,alphabeta,mcts,0,16
28,alphabeta,mcts,1,88
29,alphabeta,mcts,0,70
30,alphabeta,mcts,-1,60


--- MATCH COMPLETE ---
alphabeta (White) wins: 8
mcts (Black) wins: 2
Draws: 20
Average game length: 44.2 moves
